FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,1,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,2,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,3,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,4,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,5,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,6,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,7,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,8,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,9,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,10,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,11,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,12,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,13,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,14,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,15,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,16,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,17,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,18,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,19,4.725,0.011717882886433393,0.0,4.091970032881472,2.3625000000000003
1,0,2.4,-0.008983710212932268,926439700.0,0.8208483439816049,2.25526228988618
1,1,2.4,-0.008983710212932268,946471940.0,0.4989880579626224,2.3475542417611335
1,2,2.4,-0.008983710212932268,951990800.0,0.8208483439816049,2.25526228988618
1,3,2.4,-0.008983710212932268,960530050.0,0.4989880579626224,2.3475542417611335
1,4,2.4,-0.011717882886433393,984303600.0,-2.0784609690826525,1.2000000000000002
1,5,2.4,-0.011717882886433393,998254600.0,-1.8912258086561327,1.47758754078158
1,6,2.4,-0.011717882886433393,1002869760.0,-1.4106846055019355,1.9416407864998737
1,7,2.4,-0.011717882886433393,1003222000.0,-2.0784609690826525,1.2000000000000002
1,8,2.4,-0.011717882886433393,1009275900.0,-1.8912258086561327,1.47758754078158
1,9,2.4,-0.011717882886433393,1011440100.0,-1.4106846055019355,1.9416407864998737
1,10,2.4,-0.011717882886433393,1049628700.0,-1.4106846055019355,1.9416407864998737
1,11,2.4,-0.011717882886433393,1055649300.0,-1.6671800891015933,1.7264155208127627
1,12,2.4,-0.011717882886433393,1057584100.0,-1.6671800891015933,1.7264155208127627
1,13,2.4,-0.011717882886433393,1064646660.0,-2.0784609690826525,1.2000000000000002
1,14,2.4,-0.011717882886433393,1071286300.0,-2.0784609690826525,1.2000000000000002
1,15,2.4,-0.011717882886433393,1117459500.0,-1.8912258086561327,1.47758754078158
1,16,2.4,-0.011717882886433393,1123425300.0,-1.8912258086561327,1.47758754078158
1,17,2.4,-0.011717882886433393,1139724300.0,-1.6671800891015933,1.7264155208127627
1,18,2.4,-0.011717882886433393,1140399100.0,-1.6671800891015933,1.7264155208127627
1,19,2.4,-0.011717882886433393,1161414700.0,-1.8912258086561327,1.47758754078158
2,0,2.4,-0.011717882886433393,5402095600.0,-0.16741553698590073,2.394153720623578
2,1,2.4,-0.011717882886433393,5412824000.0,0.16741553698590073,2.394153720623578
2,2,2.4,-0.011717882886433393,5413789700.0,1.4106846055019355,1.9416407864998737
2,3,2.4,-0.011717882886433393,5439617000.0,-0.16741553698590073,2.394153720623578
2,4,2.4,-0.011717882886433393,5568788500.0,0.8208483439816049,2.25526228988618
2,5,2.4,-0.011717882886433393,5586084000.0,1.1267317506861378,2.1190742228614248
2,6,2.4,-0.011717882886433393,5773472000.0,1.1267317506861378,2.1190742228614248
2,7,2.4,-0.011717882886433393,5793685500.0,0.8208483439816049,2.25526228988618
2,8,2.4,-0.011717882886433393,5893476400.0,0.16741553698590073,2.394153720623578
2,9,2.4,-0.011717882886433393,5951969300.0,0.4989880579626224,2.3475542417611335
2,10,2.4,-0.011717882886433393,5986869000.0,0.16741553698590073,2.394153720623578
2,11,2.4,-0.011717882886433393,6045923300.0,1.1267317506861378,2.1190742228614248
2,12,2.4,-0.011717882886433393,6111213600.0,0.4989880579626224,2.3475542417611335
2,13,2.4,-0.011717882886433393,6111723500.0,1.1267317506861378,2.1190742228614248
2,14,2.4,-0.011717882886433393,6155653000.0,0.16741553698590073,2.394153720623578
2,15,2.4,-0.011717882886433393,6234943500.0,0.8208483439816049,2.25526228988618
2,16,2.4,-0.011717882886433393,6356656000.0,0.8208483439816049,2.25526228988618
2,17,2.4,-0.011717882886433393,6434926600.0,0.4989880579626224,2.3475542417611335
2,18,2.4,-0.011717882886433393,6490806300.0,0.4989880579626224,2.3475542417611335
2,19,2.4,-0.011717882886433393,6511579000.0,0.8208483439816049,2.25526228988618
3,0,2.4,-0.011717882886433393,3567741000.0,-0.16741553698590073,2.394153720623578
3,1,2.4,-0.011717882886433393,3604850700.0,1.4106846055019355,1.9416407864998737
3,2,2.4,-0.011717882886433393,3609196500.0,1.4106846055019355,1.9416407864998737
3,3,2.4,-0.011717882886433393,3651727400.0,0.4989880579626224,2.3475542417611335
3,4,2.4,-0.011717882886433393,3664908300.0,-0.16741553698590073,2.394153720623578
3,5,2.4,-0.011717882886433393,3690348500.0,0.16741553698590073,2.394153720623578
3,6,2.4,-0.011717882886433393,3756173300.0,0.4989880579626224,2.3475542417611335
3,7,2.4,-0.011717882886433393,3799013400.0,0.16741553698590073,2.394153720623578
3,8,2.4,-0.011717882886433393,3920154600.0,1.1267317506861378,2.1190742228614248
3,9,2.4,-0.011717882886433393,3934154800.0,1.1267317506861378,2.1190742228614248
3,10,2.4,-0.011717882886433393,3935129600.0,0.8208483439816049,2.25526228988618
3,11,2.4,-0.011717882886433393,3987302400.0,0.8208483439816049,2.25526228988618
3,12,2.4,-0.011717882886433393,4023230500.0,0.16741553698590073,2.394153720623578
3,13,2.4,-0.011717882886433393,4061483000.0,0.16741553698590073,2.394153720623578
3,14,2.4,-0.011717882886433393,4071944200.0,1.1267317506861378,2.1190742228614248
3,15,2.4,-0.011717882886433393,4118212600.0,0.4989880579626224,2.3475542417611335
3,16,2.4,-0.011717882886433393,4174715000.0,0.4989880579626224,2.3475542417611335
3,17,2.4,-0.011717882886433393,4252196900.0,0.8208483439816049,2.25526228988618
3,18,2.4,-0.011717882886433393,4270553000.0,0.8208483439816049,2.25526228988618
3,19,2.4,-0.011717882886433393,4301807600.0,0.4989880579626224,2.3475542417611335
4,0,2.4,-0.011717882886433393,1157467100.0,-0.4989880579626224,2.3475542417611335
4,1,2.4,-0.008983710212932268,1161174000.0,0.8208483439816049,2.25526228988618
4,2,2.4,-0.008983710212932268,1163152800.0,1.1267317506861378,2.1190742228614248
4,3,2.4,-0.008983710212932268,1164844500.0,1.1267317506861378,2.1190742228614248
4,4,2.4,-0.011717882886433393,1168798200.0,-1.4106846055019355,1.9416407864998737
4,5,2.4,-0.011717882886433393,1174378500.0,-0.16741553698590073,2.394153720623578
4,6,2.4,-0.011717882886433393,1178575900.0,-1.1267317506861378,2.1190742228614248
4,7,2.4,-0.011717882886433393,1189980200.0,0.16741553698590073,2.394153720623578
4,8,2.4,-0.011717882886433393,1194915800.0,0.16741553698590073,2.394153720623578
4,9,2.4,-0.008983710212932268,1197272300.0,0.8208483439816049,2.25526228988618
4,10,2.4,-0.011717882886433393,1211692000.0,-1.1267317506861378,2.1190742228614248
4,11,2.4,-0.011717882886433393,1213898800.0,-0.4989880579626224,2.3475542417611335
4,12,2.4,-0.011717882886433393,1215360000.0,-0.8208483439816049,2.25526228988618
4,13,2.4,-0.011717882886433393,1243102200.0,-1.1267317506861378,2.1190742228614248
4,14,2.4,-0.011717882886433393,1248333800.0,-0.16741553698590073,2.394153720623578
4,15,2.4,-0.011717882886433393,1260074000.0,-0.8208483439816049,2.25526228988618
4,16,2.4,-0.011717882886433393,1260556300.0,-0.16741553698590073,2.394153720623578
4,17,2.4,-0.011717882886433393,1272938500.0,-0.4989880579626224,2.3475542417611335
4,18,2.4,-0.011717882886433393,1286636500.0,-0.8208483439816049,2.25526228988618
4,19,2.4,-0.011717882886433393,1292760000.0,-0.4989880579626224,2.3475542417611335
5,0,2.4,-0.009374306309146714,673181250.0,-0.8208483439816049,2.25526228988618
5,1,2.4,-0.009374306309146714,684486140.0,-0.16741553698590073,2.394153720623578
5,2,2.4,-0.009374306309146714,688654700.0,-0.16741553698590073,2.394153720623578
5,3,2.4,-0.009374306309146714,689882750.0,0.8208483439816049,2.25526228988618
5,4,2.4,-0.009374306309146714,702789500.0,0.4989880579626224,2.3475542417611335
5,5,2.4,-0.009374306309146714,704642300.0,0.8208483439816049,2.25526228988618
5,6,2.4,-0.009374306309146714,727220350.0,-0.4989880579626224,2.3475542417611335
5,7,2.4,-0.009374306309146714,727500000.0,0.16741553698590073,2.394153720623578
5,8,2.4,-0.009374306309146714,727928960.0,0.4989880579626224,2.3475542417611335
5,9,2.4,-0.009374306309146714,741658240.0,0.8208483439816049,2.25526228988618
5,10,2.4,-0.009374306309146714,756429600.0,-0.4989880579626224,2.3475542417611335
5,11,2.4,-0.009374306309146714,776071740.0,-0.4989880579626224,2.3475542417611335
5,12,2.4,-0.009374306309146714,777017100.0,0.16741553698590073,2.394153720623578
5,13,2.4,-0.009374306309146714,795853300.0,-0.16741553698590073,2.394153720623578
5,14,2.4,-0.009374306309146714,797096450.0,0.4989880579626224,2.3475542417611335
5,15,2.4,-0.009374306309146714,798109440.0,-0.16741553698590073,2.394153720623578
5,16,2.4,-0.009374306309146714,805921000.0,0.4989880579626224,2.3475542417611335
5,17,2.4,-0.009374306309146714,825746300.0,0.16741553698590073,2.394153720623578
5,18,2.4,-0.009374306309146714,835753100.0,-0.16741553698590073,2.394153720623578
5,19,2.4,-0.009374306309146714,843133440.0,0.16741553698590073,2.394153720623578
6,0,2.4,-0.011717882886433393,1458081800.0,-0.4989880579626224,2.3475542417611335
6,1,2.4,-0.011717882886433393,1475309600.0,1.1267317506861378,2.1190742228614248
6,2,2.4,-0.011717882886433393,1486332900.0,-0.16741553698590073,2.394153720623578
6,3,2.4,-0.011717882886433393,1491116000.0,1.1267317506861378,2.1190742228614248
6,4,2.4,-0.011717882886433393,1496848400.0,0.16741553698590073,2.394153720623578
6,5,2.4,-0.011717882886433393,1542054900.0,-0.4989880579626224,2.3475542417611335
6,6,2.4,-0.011717882886433393,1546115100.0,0.4989880579626224,2.3475542417611335
6,7,2.4,-0.011717882886433393,1562908700.0,-0.4989880579626224,2.3475542417611335
6,8,2.4,-0.011717882886433393,1564596200.0,0.8208483439816049,2.25526228988618
6,9,2.4,-0.011717882886433393,1571237900.0,0.8208483439816049,2.25526228988618
6,10,2.4,-0.011717882886433393,1572165600.0,0.4989880579626224,2.3475542417611335
6,11,2.4,-0.011717882886433393,1579462700.0,-0.16741553698590073,2.394153720623578
6,12,2.4,-0.011717882886433393,1641232400.0,0.8208483439816049,2.25526228988618
6,13,2.4,-0.011717882886433393,1647179800.0,0.16741553698590073,2.394153720623578
6,14,2.4,-0.011717882886433393,1653120000.0,-0.16741553698590073,2.394153720623578
6,15,2.4,-0.011717882886433393,1685801000.0,-0.16741553698590073,2.394153720623578
6,16,2.4,-0.011717882886433393,1689038800.0,0.16741553698590073,2.394153720623578
6,17,2.4,-0.011717882886433393,1701587000.0,0.4989880579626224,2.3475542417611335
6,18,2.4,-0.011717882886433393,1710770200.0,0.4989880579626224,2.3475542417611335
6,19,2.4,-0.011717882886433393,1741838300.0,0.16741553698590073,2.394153720623578
7,0,2.4,-0.011717882886433393,603702000.0,-1.4106846055019355,1.9416407864998737
7,1,2.4,-0.011717882886433393,612360700.0,-1.4106846055019355,1.9416407864998737
7,2,2.4,-0.011717882886433393,617510900.0,-1.1267317506861378,2.1190742228614248
7,3,2.4,-0.011717882886433393,619765760.0,-1.1267317506861378,2.1190742228614248
7,4,2.4,-0.011717882886433393,621317100.0,-2.0784609690826525,1.2000000000000002
7,5,2.4,-0.011717882886433393,629010400.0,-1.6671800891015933,1.7264155208127627
7,6,2.4,-0.011717882886433393,635200500.0,-1.8912258086561327,1.47758754078158
7,7,2.4,-0.011717882886433393,642817000.0,2.0784609690826525,1.2000000000000002
7,8,2.4,-0.011717882886433393,642929660.0,-2.0784609690826525,1.2000000000000002
