FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,1,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,2,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,3,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,4,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,5,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,6,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,7,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,8,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,9,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,10,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,11,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,12,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,13,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,14,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,15,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,16,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,17,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,18,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,19,4.725,0.011717882886433393,0.0,4.091970032881472,2.3625000000000003
1,0,2.4,-0.00976490240536116,24151685000.0,1.1267317506861378,2.1190742228614248
1,1,2.4,-0.00976490240536116,24601246000.0,0.16741553698590073,2.394153720623578
1,2,2.4,-0.00976490240536116,24761240000.0,1.1267317506861378,2.1190742228614248
1,3,2.4,-0.00976490240536116,24765886000.0,-0.16741553698590073,2.394153720623578
1,4,2.4,-0.00976490240536116,24962600000.0,-0.16741553698590073,2.394153720623578
1,5,2.4,-0.00976490240536116,25065070000.0,0.8208483439816049,2.25526228988618
1,6,2.4,-0.00976490240536116,25332208000.0,1.1267317506861378,2.1190742228614248
1,7,2.4,-0.00976490240536116,25368797000.0,0.16741553698590073,2.394153720623578
1,8,2.4,-0.00976490240536116,26373990000.0,0.4989880579626224,2.3475542417611335
1,9,2.4,-0.00976490240536116,26430320000.0,0.8208483439816049,2.25526228988618
1,10,2.4,-0.00976490240536116,26634826000.0,-0.16741553698590073,2.394153720623578
1,11,2.4,-0.00976490240536116,26703917000.0,-0.16741553698590073,2.394153720623578
1,12,2.4,-0.00976490240536116,27347577000.0,0.8208483439816049,2.25526228988618
1,13,2.4,-0.00976490240536116,27360352000.0,0.4989880579626224,2.3475542417611335
1,14,2.4,-0.00976490240536116,27520504000.0,0.16741553698590073,2.394153720623578
1,15,2.4,-0.00976490240536116,27826895000.0,0.8208483439816049,2.25526228988618
1,16,2.4,-0.00976490240536116,27935875000.0,0.16741553698590073,2.394153720623578
1,17,2.4,-0.00976490240536116,28595292000.0,0.4989880579626224,2.3475542417611335
1,18,2.4,-0.00976490240536116,28691420000.0,0.16741553698590073,2.394153720623578
1,19,2.4,-0.00976490240536116,28941576000.0,0.4989880579626224,2.3475542417611335
2,0,2.4,-0.00976490240536116,20778314000.0,-0.8208483439816049,2.25526228988618
2,1,2.4,-0.00976490240536116,20977218000.0,0.16741553698590073,2.394153720623578
2,2,2.4,-0.00976490240536116,21140730000.0,0.8208483439816049,2.25526228988618
2,3,2.4,-0.00976490240536116,21222257000.0,0.8208483439816049,2.25526228988618
2,4,2.4,-0.00976490240536116,21300388000.0,0.16741553698590073,2.394153720623578
2,5,2.4,-0.00976490240536116,21902402000.0,0.4989880579626224,2.3475542417611335
2,6,2.4,-0.00976490240536116,21971380000.0,0.4989880579626224,2.3475542417611335
2,7,2.4,-0.00976490240536116,22172709000.0,0.8208483439816049,2.25526228988618
2,8,2.4,-0.00976490240536116,22294467000.0,-0.4989880579626224,2.3475542417611335
2,9,2.4,-0.00976490240536116,22453600000.0,-0.16741553698590073,2.394153720623578
2,10,2.4,-0.00976490240536116,22699215000.0,-0.4989880579626224,2.3475542417611335
2,11,2.4,-0.00976490240536116,22882560000.0,-0.16741553698590073,2.394153720623578
2,12,2.4,-0.00976490240536116,23468816000.0,-0.4989880579626224,2.3475542417611335
2,13,2.4,-0.00976490240536116,23978574000.0,0.4989880579626224,2.3475542417611335
2,14,2.4,-0.00976490240536116,24002822000.0,0.4989880579626224,2.3475542417611335
2,15,2.4,-0.00976490240536116,24077136000.0,0.16741553698590073,2.394153720623578
2,16,2.4,-0.00976490240536116,24252076000.0,0.16741553698590073,2.394153720623578
2,17,2.4,-0.00976490240536116,24627290000.0,-0.16741553698590073,2.394153720623578
2,18,2.4,-0.00976490240536116,24777912000.0,-0.16741553698590073,2.394153720623578
2,19,2.4,-0.00976490240536116,25227172000.0,0.16741553698590073,2.394153720623578
3,0,2.4,-0.008983710212932268,11446020000.0,-1.1267317506861378,2.1190742228614248
3,1,2.4,-0.008983710212932268,11568245000.0,-1.8912258086561327,1.47758754078158
3,2,2.4,-0.008983710212932268,11822968000.0,-1.1267317506861378,2.1190742228614248
3,3,2.4,-0.008983710212932268,12069073000.0,-1.6671800891015933,1.7264155208127627
3,4,2.4,-0.008983710212932268,12091343000.0,-1.4106846055019355,1.9416407864998737
3,5,2.4,-0.008983710212932268,12166752000.0,-0.4989880579626224,2.3475542417611335
3,6,2.4,-0.008983710212932268,12192083000.0,-0.8208483439816049,2.25526228988618
3,7,2.4,-0.008983710212932268,12221182000.0,-0.4989880579626224,2.3475542417611335
3,8,2.4,-0.008983710212932268,12383364000.0,-0.8208483439816049,2.25526228988618
3,9,2.4,-0.008983710212932268,12391596000.0,-1.6671800891015933,1.7264155208127627
3,10,2.4,-0.008983710212932268,12481038000.0,-1.4106846055019355,1.9416407864998737
3,11,2.4,-0.008983710212932268,12685705000.0,-0.4989880579626224,2.3475542417611335
3,12,2.4,-0.008983710212932268,12743270000.0,-1.6671800891015933,1.7264155208127627
3,13,2.4,-0.008983710212932268,13080905000.0,-1.1267317506861378,2.1190742228614248
3,14,2.4,-0.008983710212932268,13274440000.0,-1.4106846055019355,1.9416407864998737
3,15,2.4,-0.008983710212932268,13284900000.0,-1.1267317506861378,2.1190742228614248
3,16,2.4,-0.008983710212932268,13289587000.0,-0.8208483439816049,2.25526228988618
3,17,2.4,-0.008983710212932268,13356761000.0,-0.8208483439816049,2.25526228988618
3,18,2.4,-0.008983710212932268,13411275000.0,-1.4106846055019355,1.9416407864998737
3,19,2.4,-0.008983710212932268,13726615000.0,-1.1267317506861378,2.1190742228614248
4,0,2.4,-0.009374306309146714,8085076000.0,0.16741553698590073,2.394153720623578
4,1,2.4,-0.009374306309146714,8101736400.0,-1.1267317506861378,2.1190742228614248
4,2,2.4,-0.009374306309146714,8156512000.0,0.8208483439816049,2.25526228988618
4,3,2.4,-0.009374306309146714,8184981500.0,0.4989880579626224,2.3475542417611335
4,4,2.4,-0.009374306309146714,8267655000.0,-0.4989880579626224,2.3475542417611335
4,5,2.4,-0.009374306309146714,8405966000.0,-0.8208483439816049,2.25526228988618
4,6,2.4,-0.009374306309146714,8755552000.0,-0.16741553698590073,2.394153720623578
4,7,2.4,-0.009374306309146714,8921654000.0,-0.8208483439816049,2.25526228988618
4,8,2.4,-0.009374306309146714,8922416000.0,0.4989880579626224,2.3475542417611335
4,9,2.4,-0.009374306309146714,8979676000.0,0.4989880579626224,2.3475542417611335
4,10,2.4,-0.009374306309146714,9039837000.0,-0.16741553698590073,2.394153720623578
4,11,2.4,-0.009374306309146714,9048852000.0,-0.8208483439816049,2.25526228988618
4,12,2.4,-0.009374306309146714,9132742000.0,0.16741553698590073,2.394153720623578
4,13,2.4,-0.009374306309146714,9151240000.0,-0.4989880579626224,2.3475542417611335
4,14,2.4,-0.009374306309146714,9289859000.0,0.16741553698590073,2.394153720623578
4,15,2.4,-0.009374306309146714,9378278000.0,-0.4989880579626224,2.3475542417611335
4,16,2.4,-0.009374306309146714,9657741000.0,0.16741553698590073,2.394153720623578
4,17,2.4,-0.009374306309146714,9688549000.0,-0.4989880579626224,2.3475542417611335
4,18,2.4,-0.009374306309146714,9718002000.0,-0.16741553698590073,2.394153720623578
4,19,2.4,-0.009374306309146714,9817831000.0,-0.16741553698590073,2.394153720623578
5,0,2.4,-0.008983710212932268,4901347300.0,-1.6671800891015933,1.7264155208127627
5,1,2.4,-0.008983710212932268,4993833000.0,-1.1267317506861378,2.1190742228614248
5,2,2.4,-0.008983710212932268,4996155400.0,-1.6671800891015933,1.7264155208127627
5,3,2.4,-0.008983710212932268,5053339600.0,-0.4989880579626224,2.3475542417611335
5,4,2.4,-0.008983710212932268,5102391300.0,-0.16741553698590073,2.394153720623578
5,5,2.4,-0.008983710212932268,5176340500.0,-0.16741553698590073,2.394153720623578
5,6,2.4,-0.008983710212932268,5237193700.0,-1.4106846055019355,1.9416407864998737
5,7,2.4,-0.008983710212932268,5257842700.0,-0.8208483439816049,2.25526228988618
5,8,2.4,-0.008983710212932268,5295927300.0,-0.4989880579626224,2.3475542417611335
5,9,2.4,-0.008983710212932268,5317474300.0,-1.4106846055019355,1.9416407864998737
5,10,2.4,-0.008983710212932268,5385780000.0,-0.16741553698590073,2.394153720623578
5,11,2.4,-0.008983710212932268,5399744500.0,-0.8208483439816049,2.25526228988618
5,12,2.4,-0.008983710212932268,5492475000.0,-1.1267317506861378,2.1190742228614248
5,13,2.4,-0.008983710212932268,5508756500.0,-1.4106846055019355,1.9416407864998737
5,14,2.4,-0.008983710212932268,5629126700.0,-0.4989880579626224,2.3475542417611335
5,15,2.4,-0.008983710212932268,5633931300.0,-1.1267317506861378,2.1190742228614248
5,16,2.4,-0.008983710212932268,5714262000.0,-0.4989880579626224,2.3475542417611335
5,17,2.4,-0.008983710212932268,5801459700.0,-0.8208483439816049,2.25526228988618
5,18,2.4,-0.008983710212932268,5809031000.0,-1.1267317506861378,2.1190742228614248
5,19,2.4,-0.008983710212932268,5851308000.0,-0.8208483439816049,2.25526228988618
6,0,2.4,-0.009374306309146714,5882876400.0,-0.4989880579626224,2.3475542417611335
6,1,2.4,-0.009374306309146714,5904342500.0,1.1267317506861378,2.1190742228614248
6,2,2.4,-0.009374306309146714,6048407000.0,-0.4989880579626224,2.3475542417611335
6,3,2.4,-0.009374306309146714,6147661300.0,0.4989880579626224,2.3475542417611335
6,4,2.4,-0.009374306309146714,6203724000.0,-0.4989880579626224,2.3475542417611335
6,5,2.4,-0.009374306309146714,6216568000.0,1.1267317506861378,2.1190742228614248
6,6,2.4,-0.009374306309146714,6241123300.0,0.16741553698590073,2.394153720623578
6,7,2.4,-0.009374306309146714,6302022700.0,1.1267317506861378,2.1190742228614248
6,8,2.4,-0.009374306309146714,6339081700.0,-0.16741553698590073,2.394153720623578
6,9,2.4,-0.009374306309146714,6373933000.0,0.16741553698590073,2.394153720623578
6,10,2.4,-0.009374306309146714,6447753000.0,-0.16741553698590073,2.394153720623578
6,11,2.4,-0.009374306309146714,6449835000.0,0.8208483439816049,2.25526228988618
6,12,2.4,-0.009374306309146714,6486329300.0,0.8208483439816049,2.25526228988618
6,13,2.4,-0.009374306309146714,6494956500.0,0.4989880579626224,2.3475542417611335
6,14,2.4,-0.009374306309146714,6649883000.0,-0.16741553698590073,2.394153720623578
6,15,2.4,-0.009374306309146714,6727811600.0,0.8208483439816049,2.25526228988618
6,16,2.4,-0.009374306309146714,6783082500.0,0.4989880579626224,2.3475542417611335
6,17,2.4,-0.009374306309146714,6806678500.0,0.16741553698590073,2.394153720623578
6,18,2.4,-0.009374306309146714,6853327000.0,0.16741553698590073,2.394153720623578
6,19,2.4,-0.009374306309146714,6905026600.0,0.4989880579626224,2.3475542417611335
7,0,2.4,-0.009374306309146714,3166568000.0,0.4989880579626224,2.3475542417611335
7,1,2.4,-0.009374306309146714,3187080400.0,1.4106846055019355,1.9416407864998737
7,2,2.4,-0.009374306309146714,3192477200.0,-0.4989880579626224,2.3475542417611335
7,3,2.4,-0.009374306309146714,3245523500.0,0.8208483439816049,2.25526228988618
7,4,2.4,-0.009374306309146714,3249140500.0,1.1267317506861378,2.1190742228614248
7,5,2.4,-0.009374306309146714,3343274000.0,-0.16741553698590073,2.394153720623578
7,6,2.4,-0.009374306309146714,3356178000.0,0.16741553698590073,2.394153720623578
7,7,2.4,-0.009374306309146714,3366392600.0,0.16741553698590073,2.394153720623578
