FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,1,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,2,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,3,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,4,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,5,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,6,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,7,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,8,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,9,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,10,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,11,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,12,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,13,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,14,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,15,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,16,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,17,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,18,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,19,4.725,0.011717882886433393,0.0,4.091970032881472,2.3625000000000003
1,0,2.4,-0.010155498501575606,2059692000.0,1.1267317506861378,2.1190742228614248
1,1,2.4,-0.010155498501575606,2061295600.0,0.8208483439816049,2.25526228988618
1,2,2.4,-0.011717882886433393,2086404100.0,-0.16741553698590073,2.394153720623578
1,3,2.4,-0.010155498501575606,2095088600.0,0.4989880579626224,2.3475542417611335
1,4,2.4,-0.010155498501575606,2095738900.0,0.4989880579626224,2.3475542417611335
1,5,2.4,-0.011717882886433393,2098338800.0,-0.16741553698590073,2.394153720623578
1,6,2.4,-0.011717882886433393,2098790400.0,0.4989880579626224,2.3475542417611335
1,7,2.4,-0.011717882886433393,2115926000.0,0.16741553698590073,2.394153720623578
1,8,2.4,-0.010155498501575606,2126272500.0,0.8208483439816049,2.25526228988618
1,9,2.4,-0.011717882886433393,2141581300.0,0.8208483439816049,2.25526228988618
1,10,2.4,-0.010155498501575606,2144792600.0,0.8208483439816049,2.25526228988618
1,11,2.4,-0.011717882886433393,2151272400.0,0.4989880579626224,2.3475542417611335
1,12,2.4,-0.011717882886433393,2167933000.0,0.8208483439816049,2.25526228988618
1,13,2.4,-0.011717882886433393,2204801000.0,0.8208483439816049,2.25526228988618
1,14,2.4,-0.011717882886433393,2215194600.0,0.16741553698590073,2.394153720623578
1,15,2.4,-0.011717882886433393,2275244000.0,0.16741553698590073,2.394153720623578
1,16,2.4,-0.011717882886433393,2275494000.0,0.4989880579626224,2.3475542417611335
1,17,2.4,-0.011717882886433393,2303895600.0,0.4989880579626224,2.3475542417611335
1,18,2.4,-0.011717882886433393,2310082600.0,0.16741553698590073,2.394153720623578
1,19,2.4,-0.011717882886433393,2347489300.0,0.4989880579626224,2.3475542417611335
2,0,2.4,-0.010546094597790052,2392733700.0,1.4106846055019355,1.9416407864998737
2,1,2.4,-0.010546094597790052,2393719800.0,1.1267317506861378,2.1190742228614248
2,2,2.4,-0.010546094597790052,2461921300.0,1.1267317506861378,2.1190742228614248
2,3,2.4,-0.010546094597790052,2481953300.0,0.8208483439816049,2.25526228988618
2,4,2.4,-0.010546094597790052,2525814800.0,-0.16741553698590073,2.394153720623578
2,5,2.4,-0.010546094597790052,2534105000.0,0.16741553698590073,2.394153720623578
2,6,2.4,-0.010546094597790052,2561634300.0,-0.16741553698590073,2.394153720623578
2,7,2.4,-0.010546094597790052,2562368000.0,0.4989880579626224,2.3475542417611335
2,8,2.4,-0.010546094597790052,2640951300.0,1.1267317506861378,2.1190742228614248
2,9,2.4,-0.010546094597790052,2646659600.0,0.16741553698590073,2.394153720623578
2,10,2.4,-0.010546094597790052,2653867000.0,-0.16741553698590073,2.394153720623578
2,11,2.4,-0.010546094597790052,2664886300.0,1.1267317506861378,2.1190742228614248
2,12,2.4,-0.010546094597790052,2700475000.0,0.8208483439816049,2.25526228988618
2,13,2.4,-0.010546094597790052,2741403600.0,0.4989880579626224,2.3475542417611335
2,14,2.4,-0.010546094597790052,2787292200.0,0.8208483439816049,2.25526228988618
2,15,2.4,-0.010546094597790052,2801735200.0,0.16741553698590073,2.394153720623578
2,16,2.4,-0.010546094597790052,2841269200.0,0.16741553698590073,2.394153720623578
2,17,2.4,-0.010546094597790052,2857628200.0,0.4989880579626224,2.3475542417611335
2,18,2.4,-0.010546094597790052,2864039400.0,0.8208483439816049,2.25526228988618
2,19,2.4,-0.010546094597790052,2920519700.0,0.4989880579626224,2.3475542417611335
3,0,2.4,-0.011717882886433393,3533827000.0,0.4989880579626224,2.3475542417611335
3,1,2.4,-0.010155498501575606,3598511000.0,0.16741553698590073,2.394153720623578
3,2,2.4,-0.010155498501575606,3699422200.0,-0.4989880579626224,2.3475542417611335
3,3,2.4,-0.010155498501575606,3794681900.0,0.8208483439816049,2.25526228988618
3,4,2.4,-0.010155498501575606,3807153200.0,-0.16741553698590073,2.394153720623578
3,5,2.4,-0.010155498501575606,3824883700.0,0.16741553698590073,2.394153720623578
3,6,2.4,-0.010155498501575606,3841289200.0,0.4989880579626224,2.3475542417611335
3,7,2.4,-0.010155498501575606,3845089300.0,-0.4989880579626224,2.3475542417611335
3,8,2.4,-0.010155498501575606,3875406800.0,0.8208483439816049,2.25526228988618
3,9,2.4,-0.010155498501575606,3936175000.0,-0.4989880579626224,2.3475542417611335
3,10,2.4,-0.010155498501575606,3991710700.0,0.4989880579626224,2.3475542417611335
3,11,2.4,-0.010155498501575606,4005633000.0,-0.16741553698590073,2.394153720623578
3,12,2.4,-0.010155498501575606,4022848500.0,0.8208483439816049,2.25526228988618
3,13,2.4,-0.010155498501575606,4192502800.0,0.16741553698590073,2.394153720623578
3,14,2.4,-0.010155498501575606,4225810400.0,-0.16741553698590073,2.394153720623578
3,15,2.4,-0.010155498501575606,4268240000.0,0.4989880579626224,2.3475542417611335
3,16,2.4,-0.010155498501575606,4295514000.0,-0.16741553698590073,2.394153720623578
3,17,2.4,-0.010155498501575606,4315016000.0,0.16741553698590073,2.394153720623578
3,18,2.4,-0.010155498501575606,4321051600.0,0.4989880579626224,2.3475542417611335
3,19,2.4,-0.010155498501575606,4444104700.0,0.16741553698590073,2.394153720623578
4,0,2.4,-0.011717882886433393,2665132000.0,0.4989880579626224,2.3475542417611335
4,1,2.4,-0.00976490240536116,2669688600.0,-0.16741553698590073,2.394153720623578
4,2,2.4,-0.011717882886433393,2678760400.0,0.16741553698590073,2.394153720623578
4,3,2.4,-0.011717882886433393,2687965200.0,0.8208483439816049,2.25526228988618
4,4,2.4,-0.011717882886433393,2749112300.0,0.8208483439816049,2.25526228988618
4,5,2.4,-0.011717882886433393,2839879700.0,0.4989880579626224,2.3475542417611335
4,6,2.4,-0.011717882886433393,2856391700.0,-0.16741553698590073,2.394153720623578
4,7,2.4,-0.011717882886433393,2897692700.0,0.8208483439816049,2.25526228988618
4,8,2.4,-0.011717882886433393,2930813000.0,0.8208483439816049,2.25526228988618
4,9,2.4,-0.011717882886433393,2931187700.0,-0.16741553698590073,2.394153720623578
4,10,2.4,-0.011717882886433393,2982987800.0,0.8208483439816049,2.25526228988618
4,11,2.4,-0.011717882886433393,3004252200.0,0.4989880579626224,2.3475542417611335
4,12,2.4,-0.011717882886433393,3006261200.0,-0.16741553698590073,2.394153720623578
4,13,2.4,-0.011717882886433393,3031474200.0,0.16741553698590073,2.394153720623578
4,14,2.4,-0.011717882886433393,3041937400.0,0.16741553698590073,2.394153720623578
4,15,2.4,-0.011717882886433393,3121031200.0,0.4989880579626224,2.3475542417611335
4,16,2.4,-0.011717882886433393,3209980000.0,0.4989880579626224,2.3475542417611335
4,17,2.4,-0.011717882886433393,3232818200.0,0.16741553698590073,2.394153720623578
4,18,2.4,-0.011717882886433393,3236475000.0,0.16741553698590073,2.394153720623578
4,19,2.4,-0.011717882886433393,3250999300.0,0.4989880579626224,2.3475542417611335
5,0,2.4,-0.011717882886433393,1995466800.0,0.8208483439816049,2.25526228988618
5,1,2.4,-0.011717882886433393,1995814400.0,-0.8208483439816049,2.25526228988618
5,2,2.4,-0.011717882886433393,2016084000.0,0.4989880579626224,2.3475542417611335
5,3,2.4,-0.011717882886433393,2017889800.0,-0.8208483439816049,2.25526228988618
5,4,2.4,-0.011717882886433393,2121211900.0,-0.16741553698590073,2.394153720623578
5,5,2.4,-0.011717882886433393,2138317300.0,0.16741553698590073,2.394153720623578
5,6,2.4,-0.011717882886433393,2159033300.0,-0.4989880579626224,2.3475542417611335
5,7,2.4,-0.011717882886433393,2168297500.0,0.8208483439816049,2.25526228988618
5,8,2.4,-0.011717882886433393,2204382200.0,0.8208483439816049,2.25526228988618
5,9,2.4,-0.011717882886433393,2236415000.0,-0.4989880579626224,2.3475542417611335
5,10,2.4,-0.011717882886433393,2244212700.0,0.4989880579626224,2.3475542417611335
5,11,2.4,-0.011717882886433393,2278709800.0,-0.16741553698590073,2.394153720623578
5,12,2.4,-0.011717882886433393,2312158200.0,0.16741553698590073,2.394153720623578
5,13,2.4,-0.011717882886433393,2313112600.0,-0.4989880579626224,2.3475542417611335
5,14,2.4,-0.011717882886433393,2341345300.0,0.4989880579626224,2.3475542417611335
5,15,2.4,-0.011717882886433393,2416444400.0,-0.16741553698590073,2.394153720623578
5,16,2.4,-0.011717882886433393,2421460000.0,0.4989880579626224,2.3475542417611335
5,17,2.4,-0.011717882886433393,2447550500.0,0.16741553698590073,2.394153720623578
5,18,2.4,-0.011717882886433393,2471734300.0,-0.16741553698590073,2.394153720623578
5,19,2.4,-0.011717882886433393,2508587000.0,0.16741553698590073,2.394153720623578
6,0,2.4,-0.010546094597790052,2180874200.0,1.4106846055019355,1.9416407864998737
6,1,2.4,-0.010546094597790052,2184318500.0,1.6671800891015933,1.7264155208127627
6,2,2.4,-0.010546094597790052,2215165000.0,0.16741553698590073,2.394153720623578
6,3,2.4,-0.010546094597790052,2221501400.0,0.8208483439816049,2.25526228988618
6,4,2.4,-0.010546094597790052,2260913200.0,0.4989880579626224,2.3475542417611335
6,5,2.4,-0.010546094597790052,2263720200.0,1.1267317506861378,2.1190742228614248
6,6,2.4,-0.010546094597790052,2265785900.0,0.4989880579626224,2.3475542417611335
6,7,2.4,-0.010546094597790052,2278279000.0,1.6671800891015933,1.7264155208127627
6,8,2.4,-0.010546094597790052,2285260300.0,0.16741553698590073,2.394153720623578
6,9,2.4,-0.010546094597790052,2285374700.0,1.4106846055019355,1.9416407864998737
6,10,2.4,-0.010546094597790052,2411198000.0,1.1267317506861378,2.1190742228614248
6,11,2.4,-0.010546094597790052,2431119400.0,1.4106846055019355,1.9416407864998737
6,12,2.4,-0.010546094597790052,2458434600.0,0.8208483439816049,2.25526228988618
6,13,2.4,-0.010546094597790052,2466000400.0,0.4989880579626224,2.3475542417611335
6,14,2.4,-0.010546094597790052,2467693000.0,0.4989880579626224,2.3475542417611335
6,15,2.4,-0.010546094597790052,2467825200.0,1.4106846055019355,1.9416407864998737
6,16,2.4,-0.010546094597790052,2511914500.0,0.8208483439816049,2.25526228988618
6,17,2.4,-0.010546094597790052,2531074000.0,1.1267317506861378,2.1190742228614248
6,18,2.4,-0.010546094597790052,2582834200.0,1.1267317506861378,2.1190742228614248
6,19,2.4,-0.010546094597790052,2595060200.0,0.8208483439816049,2.25526228988618
7,0,2.4,-0.00976490240536116,4243849700.0,0.4989880579626224,2.3475542417611335
7,1,2.4,-0.010546094597790052,4249216000.0,1.4106846055019355,1.9416407864998737
7,2,2.4,-0.010546094597790052,4253836300.0,0.4989880579626224,2.3475542417611335
7,3,2.4,-0.00976490240536116,4266545200.0,0.4989880579626224,2.3475542417611335
7,4,2.4,-0.00976490240536116,4273790000.0,-0.8208483439816049,2.25526228988618
7,5,2.4,-0.010546094597790052,4279210500.0,0.4989880579626224,2.3475542417611335
7,6,2.4,-0.010546094597790052,4290709000.0,0.8208483439816049,2.25526228988618
7,7,2.4,-0.00976490240536116,4307934000.0,-0.4989880579626224,2.3475542417611335
7,8,2.4,-0.010546094597790052,4319505400.0,0.8208483439816049,2.25526228988618
