FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,1,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,2,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,3,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,4,1.575,-0.003905960962144464,0.0,-0.739417711387778,1.39064245875281
0,5,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,6,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,7,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,8,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,9,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,10,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,11,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,12,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,13,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,14,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,15,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,16,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,17,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,18,1.575,-0.003905960962144464,0.0,-0.5386817257379282,1.4800158777378056
0,19,4.725,0.011717882886433393,0.0,4.091970032881472,2.3625000000000003
1,0,2.4,-0.00976490240536116,6880213000.0,-0.4989880579626224,2.3475542417611335
1,1,2.4,-0.00976490240536116,6908283000.0,0.16741553698590073,2.394153720623578
1,2,2.4,-0.00976490240536116,6999768000.0,-0.16741553698590073,2.394153720623578
1,3,2.4,-0.010155498501575606,7008473000.0,0.16741553698590073,2.394153720623578
1,4,2.4,-0.00976490240536116,7013719000.0,0.8208483439816049,2.25526228988618
1,5,2.4,-0.010155498501575606,7038517000.0,-0.16741553698590073,2.394153720623578
1,6,2.4,-0.00976490240536116,7169536000.0,0.4989880579626224,2.3475542417611335
1,7,2.4,-0.00976490240536116,7233148000.0,0.8208483439816049,2.25526228988618
1,8,2.4,-0.00976490240536116,7244371000.0,0.4989880579626224,2.3475542417611335
1,9,2.4,-0.00976490240536116,7318433000.0,-0.4989880579626224,2.3475542417611335
1,10,2.4,-0.00976490240536116,7411749000.0,-0.16741553698590073,2.394153720623578
1,11,2.4,-0.00976490240536116,7419647000.0,-0.4989880579626224,2.3475542417611335
1,12,2.4,-0.00976490240536116,7455595500.0,0.8208483439816049,2.25526228988618
1,13,2.4,-0.00976490240536116,7745385500.0,0.16741553698590073,2.394153720623578
1,14,2.4,-0.00976490240536116,7806950400.0,-0.16741553698590073,2.394153720623578
1,15,2.4,-0.00976490240536116,7863752700.0,0.16741553698590073,2.394153720623578
1,16,2.4,-0.00976490240536116,7879190500.0,0.4989880579626224,2.3475542417611335
1,17,2.4,-0.00976490240536116,7905480700.0,0.4989880579626224,2.3475542417611335
1,18,2.4,-0.00976490240536116,7951622000.0,-0.16741553698590073,2.394153720623578
1,19,2.4,-0.00976490240536116,8157705000.0,0.16741553698590073,2.394153720623578
2,0,2.4,-0.010546094597790052,15537609000.0,0.8208483439816049,2.25526228988618
2,1,2.4,-0.010546094597790052,15569857000.0,0.16741553698590073,2.394153720623578
2,2,2.4,-0.010546094597790052,15820278000.0,0.8208483439816049,2.25526228988618
2,3,2.4,-0.010546094597790052,16012997000.0,0.4989880579626224,2.3475542417611335
2,4,2.4,-0.010546094597790052,16183628000.0,0.16741553698590073,2.394153720623578
2,5,2.4,-0.010546094597790052,16274430000.0,0.4989880579626224,2.3475542417611335
2,6,2.4,-0.010546094597790052,16717693000.0,1.6671800891015933,1.7264155208127627
2,7,2.4,-0.010546094597790052,16738888000.0,1.6671800891015933,1.7264155208127627
2,8,2.4,-0.010546094597790052,17078117000.0,1.1267317506861378,2.1190742228614248
2,9,2.4,-0.010546094597790052,17252286000.0,1.1267317506861378,2.1190742228614248
2,10,2.4,-0.010546094597790052,17492517000.0,1.4106846055019355,1.9416407864998737
2,11,2.4,-0.010546094597790052,17574857000.0,1.4106846055019355,1.9416407864998737
2,12,2.4,-0.010546094597790052,17636200000.0,0.4989880579626224,2.3475542417611335
2,13,2.4,-0.010546094597790052,17728020000.0,0.4989880579626224,2.3475542417611335
2,14,2.4,-0.010546094597790052,17950306000.0,0.8208483439816049,2.25526228988618
2,15,2.4,-0.010546094597790052,18103273000.0,0.8208483439816049,2.25526228988618
2,16,2.4,-0.010546094597790052,18343154000.0,1.4106846055019355,1.9416407864998737
2,17,2.4,-0.010546094597790052,18768544000.0,1.1267317506861378,2.1190742228614248
2,18,2.4,-0.010546094597790052,18829707000.0,1.1267317506861378,2.1190742228614248
2,19,2.4,-0.010546094597790052,18851246000.0,0.8208483439816049,2.25526228988618
3,0,2.4,-0.010155498501575606,13447388000.0,1.4106846055019355,1.9416407864998737
3,1,2.4,-0.010155498501575606,13488468000.0,0.4989880579626224,2.3475542417611335
3,2,2.4,-0.010155498501575606,13795724000.0,1.6671800891015933,1.7264155208127627
3,3,2.4,-0.010155498501575606,13961788000.0,1.6671800891015933,1.7264155208127627
3,4,2.4,-0.010155498501575606,14057193000.0,1.1267317506861378,2.1190742228614248
3,5,2.4,-0.010155498501575606,14392616000.0,1.4106846055019355,1.9416407864998737
3,6,2.4,-0.010155498501575606,14476923000.0,0.16741553698590073,2.394153720623578
3,7,2.4,-0.010155498501575606,14481857000.0,0.8208483439816049,2.25526228988618
3,8,2.4,-0.010155498501575606,14484236000.0,0.16741553698590073,2.394153720623578
3,9,2.4,-0.010155498501575606,14928919000.0,1.4106846055019355,1.9416407864998737
3,10,2.4,-0.010155498501575606,14963743000.0,0.4989880579626224,2.3475542417611335
3,11,2.4,-0.010155498501575606,15004674000.0,0.8208483439816049,2.25526228988618
3,12,2.4,-0.010155498501575606,15111537000.0,1.1267317506861378,2.1190742228614248
3,13,2.4,-0.010155498501575606,15154625000.0,0.4989880579626224,2.3475542417611335
3,14,2.4,-0.010155498501575606,15260841000.0,1.4106846055019355,1.9416407864998737
3,15,2.4,-0.010155498501575606,15627044000.0,1.1267317506861378,2.1190742228614248
3,16,2.4,-0.010155498501575606,15672680000.0,0.4989880579626224,2.3475542417611335
3,17,2.4,-0.010155498501575606,15892955000.0,0.8208483439816049,2.25526228988618
3,18,2.4,-0.010155498501575606,15997287000.0,1.1267317506861378,2.1190742228614248
3,19,2.4,-0.010155498501575606,16076556000.0,0.8208483439816049,2.25526228988618
4,0,2.475,-0.010546094597790052,6290884600.0,0.17264727251671014,2.468971024393065
4,1,2.475,-0.010546094597790052,6330629000.0,0.8464998547310301,2.3257392364451235
4,2,2.475,-0.010546094597790052,6376421400.0,1.454768499423871,2.0023170610779952
4,3,2.475,-0.010546094597790052,6380630500.0,1.454768499423871,2.0023170610779952
4,4,2.475,-0.010546094597790052,6400592000.0,-0.8464998547310301,2.3257392364451235
4,5,2.475,-0.010546094597790052,6405117000.0,0.5145814347739543,2.4209153118161693
4,6,2.475,-0.010546094597790052,6423008000.0,0.17264727251671014,2.468971024393065
4,7,2.475,-0.010546094597790052,6429544000.0,1.1619421178950797,2.1852952923258444
4,8,2.475,-0.010546094597790052,6469922300.0,0.5145814347739543,2.4209153118161693
4,9,2.475,-0.010546094597790052,6547006500.0,-0.5145814347739543,2.4209153118161693
4,10,2.475,-0.010546094597790052,6586114000.0,0.5145814347739543,2.4209153118161693
4,11,2.475,-0.010546094597790052,6650921500.0,0.5145814347739543,2.4209153118161693
4,12,2.475,-0.010546094597790052,6661939700.0,1.1619421178950797,2.1852952923258444
4,13,2.475,-0.010546094597790052,6769966000.0,-0.5145814347739543,2.4209153118161693
4,14,2.475,-0.010546094597790052,6777843700.0,-0.17264727251671014,2.468971024393065
4,15,2.475,-0.010546094597790052,6826713000.0,-0.17264727251671014,2.468971024393065
4,16,2.475,-0.010546094597790052,6840441000.0,0.17264727251671014,2.468971024393065
4,17,2.475,-0.010546094597790052,6849884700.0,0.8464998547310301,2.3257392364451235
4,18,2.475,-0.010546094597790052,7045248000.0,1.1619421178950797,2.1852952923258444
4,19,2.475,-0.010546094597790052,7078089000.0,0.8464998547310301,2.3257392364451235
5,0,2.475,-0.010155498501575606,15610624000.0,-0.17264727251671014,2.468971024393065
5,1,2.475,-0.010155498501575606,15721604000.0,1.7192794668860183,1.7803660058381618
5,2,2.475,-0.010155498501575606,15738592000.0,0.17264727251671014,2.468971024393065
5,3,2.475,-0.010155498501575606,15828197000.0,0.8464998547310301,2.3257392364451235
5,4,2.475,-0.010155498501575606,15892743000.0,-0.17264727251671014,2.468971024393065
5,5,2.475,-0.010155498501575606,16038693000.0,1.454768499423871,2.0023170610779952
5,6,2.475,-0.010155498501575606,16278459000.0,1.1619421178950797,2.1852952923258444
5,7,2.475,-0.010155498501575606,16317702000.0,1.1619421178950797,2.1852952923258444
5,8,2.475,-0.010155498501575606,16628687000.0,1.454768499423871,2.0023170610779952
5,9,2.475,-0.010155498501575606,16949445000.0,0.17264727251671014,2.468971024393065
5,10,2.475,-0.010155498501575606,17011939000.0,1.454768499423871,2.0023170610779952
5,11,2.475,-0.010155498501575606,17023283000.0,0.5145814347739543,2.4209153118161693
5,12,2.475,-0.010155498501575606,17045946000.0,0.17264727251671014,2.468971024393065
5,13,2.475,-0.010155498501575606,17179429000.0,0.8464998547310301,2.3257392364451235
5,14,2.475,-0.010155498501575606,17401262000.0,0.5145814347739543,2.4209153118161693
5,15,2.475,-0.010155498501575606,17712420000.0,1.1619421178950797,2.1852952923258444
5,16,2.475,-0.010155498501575606,17716406000.0,0.8464998547310301,2.3257392364451235
5,17,2.475,-0.010155498501575606,17726200000.0,1.1619421178950797,2.1852952923258444
5,18,2.475,-0.010155498501575606,17952025000.0,0.5145814347739543,2.4209153118161693
5,19,2.475,-0.010155498501575606,18190890000.0,0.8464998547310301,2.3257392364451235
6,0,2.475,-0.010546094597790052,14776851000.0,-0.17264727251671014,2.468971024393065
6,1,2.475,-0.010546094597790052,14849135000.0,-0.17264727251671014,2.468971024393065
6,2,2.475,-0.010546094597790052,14983347000.0,1.454768499423871,2.0023170610779952
6,3,2.475,-0.010546094597790052,15329189000.0,1.1619421178950797,2.1852952923258444
6,4,2.475,-0.010546094597790052,15744079000.0,0.8464998547310301,2.3257392364451235
6,5,2.475,-0.010546094597790052,15892372000.0,1.454768499423871,2.0023170610779952
6,6,2.475,-0.010546094597790052,15911563000.0,0.5145814347739543,2.4209153118161693
6,7,2.475,-0.010546094597790052,15949070000.0,0.17264727251671014,2.468971024393065
6,8,2.475,-0.010546094597790052,16041780000.0,0.17264727251671014,2.468971024393065
6,9,2.475,-0.010546094597790052,16067234000.0,1.454768499423871,2.0023170610779952
6,10,2.475,-0.010546094597790052,16381423000.0,0.5145814347739543,2.4209153118161693
6,11,2.475,-0.010546094597790052,16403220000.0,1.1619421178950797,2.1852952923258444
6,12,2.475,-0.010546094597790052,16646249000.0,0.17264727251671014,2.468971024393065
6,13,2.475,-0.010546094597790052,16945178000.0,0.8464998547310301,2.3257392364451235
6,14,2.475,-0.010546094597790052,16999845000.0,1.1619421178950797,2.1852952923258444
6,15,2.475,-0.010546094597790052,17376990000.0,1.1619421178950797,2.1852952923258444
6,16,2.475,-0.010546094597790052,17407668000.0,0.5145814347739543,2.4209153118161693
6,17,2.475,-0.010546094597790052,17487325000.0,0.8464998547310301,2.3257392364451235
6,18,2.475,-0.010546094597790052,17572663000.0,0.5145814347739543,2.4209153118161693
6,19,2.475,-0.010546094597790052,17909098000.0,0.8464998547310301,2.3257392364451235
7,0,2.475,-0.010155498501575606,15454050000.0,0.8464998547310301,2.3257392364451235
7,1,2.475,-0.010155498501575606,15516326000.0,1.454768499423871,2.0023170610779952
7,2,2.475,-0.010155498501575606,15572116000.0,1.1619421178950797,2.1852952923258444
7,3,2.475,-0.010155498501575606,15976999000.0,-0.5145814347739543,2.4209153118161693
7,4,2.475,-0.010155498501575606,16224995000.0,0.17264727251671014,2.468971024393065
7,5,2.475,-0.010155498501575606,16290982000.0,0.17264727251671014,2.468971024393065
7,6,2.475,-0.010155498501575606,16331547000.0,-0.5145814347739543,2.4209153118161693
7,7,2.475,-0.010155498501575606,16547654000.0,-0.17264727251671014,2.468971024393065
7,8,2.475,-0.010155498501575606,16585615000.0,0.8464998547310301,2.3257392364451235
